,name,ticker,year,penalty
476,Abiomed,ABMD),2018,"3,100,000"
477,Able Sheet Metal, ,2020,"32,400"
478,Able Sheet Metal, ,2016,"23,700"
479,Able Sheet Metal, ,2010,"19,988"
480,Able Sheet Metal, ,2018,"12,775"
481,Able Sheet Metal, ,2017,"6,860"
482,ABM Industries,NYSE: ABM),2017,"110,000,000"
483,ABM Industries,NYSE: ABM),2010,"5,800,000"
484,ABM Industries,NYSE: ABM),2003,"5,655,176"
485,ABM Industries,NYSE: ABM),2012,"5,500,000"
486,ABM Industries,NYSE: ABM),2019,"5,400,000"
487,ABM Industries,NYSE: ABM),2017,"5,000,000"
488,ABM Industries,NYSE: ABM),2017,"4,800,000"
489,ABM Industries,NYSE: ABM),2018,"3,070,300"
490,ABM Industries,NYSE: ABM),2012,"2,000,000"
491,ABM Industries,NYSE: ABM),2013,"975,000"
492,ABM Industries,NYSE: ABM),2021,"310,000"
493,ABM Industries,NYSE: ABM),2010,"182,542"
494,ABM Industries,NYSE: ABM),2011,"180,000"
495,ABM Industries,NYSE: ABM),2014,"179,170"
496,ABM Industries,NYSE: ABM),2005,"103,029"
497,ABM Industries,NYSE: ABM),2007,"85,000"
498,ABM Industries,NYSE: ABM),2009,"83,670"
499,ABM Industries,NYSE: ABM),2012,"65,912"
500,ABM Industries,NYSE: ABM),2008,"65,000"
501,ABM Industries,NYSE: ABM),2021,"60,000"
502,ABM Industries,NYSE: ABM),2013,"52,516"
503,ABM Industries,NYSE: ABM),2008,"51,435"
504,ABM Industries,NYSE: ABM),2001,"50,000"
505,ABM Industries,NYSE: ABM),2018,"47,500"
506,ABM Industries,NYSE: ABM),2009,"46,000"
507,ABM Industries,NYSE: ABM),2014,"45,000"
508,ABM Industries,NYSE: ABM),2007,"43,958"
509,ABM Industries,NYSE: ABM),2014,"42,877"
510,ABM Industries,NYSE: ABM),2017,"40,000"
511,ABM Industries,NYSE: ABM),2013,"36,386"
512,ABM Industries,NYSE: ABM),2010,"36,350"
513,ABM Industries,NYSE: ABM),2009,"34,576"
514,ABM Industries,NYSE: ABM),2015,"33,902"
515,ABM Industries,NYSE: ABM),2015,"32,240"
516,ABM Industries,NYSE: ABM),2010,"31,371"
517,ABM Industries,NYSE: ABM),2018,"31,236"
518,ABM Industries,NYSE: ABM),2012,"28,310"
519,ABM Industries,NYSE: ABM),2011,"26,410"
520,ABM Industries,NYSE: ABM),2017,"25,000"
521,ABM Industries,NYSE: ABM),2010,"23,868"
522,ABM Industries,NYSE: ABM),2011,"23,787"
523,ABM Industries,NYSE: ABM),2007,"22,819"
524,ABM Industries,NYSE: ABM),2017,"22,653"
525,ABM Industries,NYSE: ABM),2006,"22,211"
526,ABM Industries,NYSE: ABM),2010,"22,115"
527,ABM Industries,NYSE: ABM),2019,"22,000"
528,ABM Industries,NYSE: ABM),2007,"21,990"
529,ABM Industries,NYSE: ABM),2017,"21,871"
530,ABM Industries,NYSE: ABM),2015,"20,700"
531,ABM Industries,NYSE: ABM),2014,"20,549"
532,ABM Industries,NYSE: ABM),2005,"20,088"
533,ABM Industries,NYSE: ABM),2014,"19,954"
534,ABM Industries,NYSE: ABM),2013,"19,919"
535,ABM Industries,NYSE: ABM),2016,"19,120"
536,ABM Industries,NYSE: ABM),2016,"18,407"
537,ABM Industries,NYSE: ABM),2014,"18,347"
538,ABM Industries,NYSE: ABM),2016,"18,000"
539,ABM Industries,NYSE: ABM),2017,"18,000"
540,ABM Industries,NYSE: ABM),2007,"17,500"
541,ABM Industries,NYSE: ABM),2005,"16,160"
542,ABM Industries,NYSE: ABM),2013,"15,783"
543,ABM Industries,NYSE: ABM),2009,"15,750"
544,ABM Industries,NYSE: ABM),2015,"15,750"
545,ABM Industries,NYSE: ABM),2016,"15,150"
546,ABM Industries,NYSE: ABM),2005,"14,986"
547,ABM Industries,NYSE: ABM),2018,"14,967"
548,ABM Industries,NYSE: ABM),2002,"13,767"
549,ABM Industries,NYSE: ABM),2008,"12,620"
550,ABM Industries,NYSE: ABM),2012,"11,020"
551,ABM Industries,NYSE: ABM),2011,"10,849"
552,ABM Industries,NYSE: ABM),2018,"10,721"
553,ABM Industries,NYSE: ABM),2010,"10,400"
554,ABM Industries,NYSE: ABM),2000,"10,000"
555,ABM Industries,NYSE: ABM),2019,"10,000"
556,ABM Industries,NYSE: ABM),2015,"9,450"
557,ABM Industries,NYSE: ABM),2009,"9,240"
558,ABM Industries,NYSE: ABM),2002,"9,000"
559,ABM Industries,NYSE: ABM),2010,"8,912"
560,ABM Industries,NYSE: ABM),2014,"8,330"
561,ABM Industries,NYSE: ABM),2015,"8,100"
562,ABM Industries,NYSE: ABM),2019,"8,096"
563,ABM Industries,NYSE: ABM),2017,"7,847"
564,ABM Industries,NYSE: ABM),2013,"7,519"
565,ABM Industries,NYSE: ABM),2017,"7,500"
566,ABM Industries,NYSE: ABM),2007,"7,452"
567,ABM Industries,NYSE: ABM),2010,"7,233"
568,ABM Industries,NYSE: ABM),2019,"7,223"
569,ABM Industries,NYSE: ABM),2008,"7,078"
570,ABM Industries,NYSE: ABM),2011,"7,000"
571,ABM Industries,NYSE: ABM),2014,"7,000"
572,ABM Industries,NYSE: ABM),2014,"7,000"
573,ABM Industries,NYSE: ABM),2015,"7,000"
574,ABM Industries,NYSE: ABM),2006,"6,935"
575,ABM Industries,NYSE: ABM),2004,"6,750"
576,ABM Industries,NYSE: ABM),2016,"6,600"
577,ABM Industries,NYSE: ABM),2020,"6,600"
578,ABM Industries,NYSE: ABM),2009,"6,592"
579,ABM Industries,NYSE: ABM),2012,"6,400"
580,ABM Industries,NYSE: ABM),2013,"6,200"
581,ABM Industries,NYSE: ABM),2002,"6,000"
582,ABM Industries,NYSE: ABM),2005,"6,000"
583,ABM Industries,NYSE: ABM),2005,"6,000"
584,ABM Industries,NYSE: ABM),2011,"6,000"
585,ABM Industries,NYSE: ABM),2015,"6,000"
586,ABM Industries,NYSE: ABM),2019,"5,960"
587,ABM Industries,NYSE: ABM),2014,"5,760"
588,ABM Industries,NYSE: ABM),2021,"5,750"
589,ABM Industries,NYSE: ABM),2019,"5,692"
590,ABM Industries,NYSE: ABM),2014,"5,670"
